iter	Passed	Remaining
0	217	216838
1	249	124582
2	277	92105
3	310	77290
4	348	69439
5	386	63998
6	414	58742
7	447	55486
8	478	52708
9	505	50044
10	538	48392
11	569	46874
12	636	48297
13	691	48672
14	720	47299
15	752	46286
16	781	45183
17	810	44198
18	841	43448
19	876	42927
20	894	41691
21	935	41586
22	973	41340
23	1006	40930
24	1041	40626
25	1078	40391
26	1114	40147
27	1131	39265
28	1164	38997
29	1200	38823
30	1232	38527
31	1265	38289
32	1298	38061
33	1340	38096
34	1354	37357
35	1386	37120
36	1417	36901
37	1448	36678
38	1478	36428
39	1512	36303
40	1544	36127
41	1576	35963
42	1618	36024
43	1654	35958
44	1684	35754
45	1719	35656
46	1751	35510
47	1788	35465
48	1823	35388
49	1844	35048
50	1869	34783
51	1899	34622
52	1930	34498
53	1963	34389
54	1993	34249
55	2027	34181
56	2059	34080
57	2091	33963
58	2121	33839
59	2153	33740
60	2186	33650
61	2217	33542
62	2249	33459
63	2282	33383
64	2315	33308
65	2349	33247
66	2391	33300
67	2427	33264
68	2458	33167
69	2489	33071
70	2512	32869
71	2543	32788
72	2574	32694
73	2607	32623
74	2639	32556
75	2652	32249
76	2687	32212
77	2722	32175
78	2755	32120
79	2787	32061
80	2811	31893
81	2843	31830
82	2876	31777
83	2909	31728
84	2942	31671
85	2972	31594
86	3004	31532
87	3036	31468
88	3068	31414
89	3100	31350
90	3132	31288
91	3168	31273
92	3200	31212
93	3229	31124
94	3260	31059
95	3293	31009
96	3326	30962
97	3338	30723
98	3359	30574
99	3392	30531
100	3422	30462
101	3452	30399
102	3485	30353
103	3492	30092
104	3505	29876
105	3525	29732
106	3555	29674
107	3585	29613
108	3597	29407
109	3624	29328
110	3653	29260
111	3688	29243
112	3710	29129
113	3751	29154
114	3792	29182
115	3824	29142
116	3853	29080
117	3859	28851
118	3889	28794
119	3920	28748
120	3951	28707
121	3964	28532
122	3994	28482
123	4025	28436
124	4053	28376
125	4083	28325
126	4113	28276
127	4144	28234
128	4176	28200
129	4192	28059
130	4221	28003
131	4259	28012
132	4276	27880
133	4290	27731
134	4323	27700
135	4359	27696
136	4367	27511
137	4373	27321
138	4404	27284
139	4458	27387
140	4490	27359
141	4522	27323
142	4540	27210
143	4575	27198
144	4607	27170
145	4638	27130
146	4670	27104
147	4702	27068
148	4737	27058
149	4746	26894
150	4777	26861
151	4807	26822
152	4839	26790
153	4877	26795
154	4911	26775
155	4946	26762
156	4975	26715
157	5006	26679
158	5018	26546
159	5030	26409
160	5063	26389
161	5095	26359
162	5128	26334
163	5162	26317
164	5194	26286
165	5226	26259
166	5259	26235
167	5292	26212
168	5323	26176
169	5335	26047
170	5365	26012
171	5395	25975
172	5428	25952
173	5462	25928
174	5496	25910
175	5515	25824
176	5532	25726
177	5566	25707
178	5603	25699
179	5647	25726
180	5692	25758
181	5724	25730
182	5758	25706
183	5771	25597
184	5802	25562
185	5833	25528
186	5864	25498
187	5895	25464
188	5928	25439
189	5964	25425
190	6000	25415
191	6045	25440
192	6094	25481
193	6128	25460
194	6160	25432
195	6192	25401
196	6222	25364
197	6252	25324
198	6282	25286
199	6313	25255
200	6346	25229
201	6377	25195
202	6408	25161
203	6441	25135
204	6472	25100
205	6502	25063
206	6537	25045
207	6570	25017
208	6604	24997
209	6639	24976
210	6670	24944
211	6701	24910
212	6732	24874
213	6761	24835
214	6792	24801
215	6824	24771
216	6857	24742
217	6893	24726
218	6925	24696
219	6955	24660
220	6983	24615
221	7014	24580
222	7046	24553
223	7080	24530
224	7110	24491
225	7143	24463
226	7174	24431
227	7210	24414
228	7244	24389
229	7279	24369
230	7312	24344
231	7344	24314
232	7374	24276
233	7404	24239
234	7435	24206
235	7469	24181
236	7501	24148
237	7533	24119
238	7563	24083
239	7593	24044
240	7622	24006
241	7652	23969
242	7683	23936
243	7715	23904
244	7749	23879
245	7780	23847
246	7811	23815
247	7842	23781
248	7873	23748
249	7899	23698
250	7931	23668
251	7963	23637
252	7995	23606
253	8027	23576
254	8060	23548
255	8083	23492
256	8114	23459
257	8151	23443
258	8185	23419
259	8219	23394
260	8242	23338
261	8284	23336
262	8321	23320
263	8357	23300
264	8394	23281
265	8427	23254
266	8462	23232
267	8494	23202
268	8524	23166
269	8557	23138
270	8583	23089
271	8617	23063
