iter	Passed	Remaining
0	270	269862
1	307	153248
2	384	127621
3	437	109022
4	470	93546
5	499	82805
6	529	75078
7	568	70501
8	614	67683
9	658	65191
10	696	62602
11	727	59919
12	756	57470
13	789	55608
14	822	53979
15	856	52659
16	890	51517
17	929	50734
18	972	50230
19	1006	49299
20	1021	47614
21	1054	46887
22	1088	46229
23	1121	45609
24	1154	45019
25	1192	44660
26	1227	44220
27	1256	43607
28	1303	43634
29	1341	43360
30	1371	42878
31	1404	42497
32	1438	42151
33	1472	41844
34	1486	40990
35	1519	40683
36	1552	40402
37	1586	40173
38	1617	39864
39	1651	39646
40	1686	39436
41	1717	39171
42	1754	39046
43	1788	38850
44	1818	38587
45	1852	38415
46	1891	38347
47	1930	38290
48	1962	38080
49	1982	37669
50	2011	37424
51	2045	37294
52	2078	37143
53	2114	37048
54	2147	36891
55	2180	36757
56	2217	36686
57	2262	36750
58	2304	36760
59	2342	36694
60	2376	36579
61	2408	36443
62	2443	36339
63	2481	36284
64	2523	36306
65	2561	36252
66	2598	36186
67	2634	36104
68	2670	36026
69	2706	35951
70	2731	35745
71	2766	35654
72	2801	35569
73	2835	35484
74	2877	35488
75	2893	35179
76	2950	35368
77	2996	35425
78	3028	35309
79	3063	35231
80	3087	35029
81	3120	34933
82	3157	34884
83	3191	34805
84	3225	34723
85	3260	34647
86	3295	34581
87	3327	34486
88	3359	34392
89	3389	34275
90	3421	34179
91	3455	34106
92	3500	34140
93	3548	34198
94	3596	34261
95	3634	34222
96	3669	34157
97	3682	33895
98	3708	33751
99	3744	33696
100	3778	33633
101	3810	33550
102	3847	33510
103	3855	33219
104	3868	32970
105	3888	32797
106	3921	32730
107	3953	32655
108	3967	32432
109	3999	32359
110	4031	32286
111	4062	32207
112	4078	32016
113	4108	31931
114	4140	31861
115	4176	31830
116	4212	31789
117	4223	31566
118	4257	31517
119	4291	31469
120	4324	31412
121	4336	31208
122	4369	31153
123	4402	31099
124	4435	31047
125	4470	31008
126	4505	30973
127	4543	30951
128	4583	30948
129	4603	30808
130	4637	30762
131	4671	30720
132	4691	30580
133	4705	30408
134	4739	30369
135	4774	30333
136	4783	30129
137	4791	29928
138	4829	29912
