iter	Passed	Remaining
0	180	180025
1	209	104534
2	234	78034
3	262	65432
4	291	58089
5	320	53160
6	347	49277
7	376	46711
8	404	44534
9	428	42400
10	460	41434
11	488	40224
12	515	39137
13	542	38214
14	570	37490
15	598	36783
16	625	36190
17	654	35701
18	682	35221
19	708	34704
20	721	33656
21	752	33434
22	781	33212
23	812	33042
24	844	32945
25	874	32771
26	902	32536
27	918	31895
28	948	31765
29	977	31593
30	1005	31415
31	1038	31405
32	1069	31339
33	1098	31214
34	1109	30589
35	1137	30466
36	1168	30403
37	1198	30337
38	1226	30221
39	1254	30109
40	1282	29992
41	1310	29881
42	1338	29798
43	1367	29704
44	1392	29543
45	1422	29501
46	1451	29427
47	1482	29402
48	1512	29355
49	1531	29103
50	1556	28970
51	1590	28989
52	1619	28935
53	1648	28883
54	1677	28815
55	1706	28768
56	1736	28720
57	1765	28678
58	1794	28625
59	1823	28560
60	1851	28503
61	1879	28440
62	1909	28392
63	1937	28337
64	1966	28283
65	1996	28249
66	2030	28272
67	2061	28261
68	2090	28204
69	2118	28139
70	2138	27974
71	2167	27936
72	2197	27906
73	2226	27857
74	2255	27819
75	2266	27558
76	2296	27531
77	2328	27525
78	2357	27480
79	2385	27435
80	2405	27293
81	2432	27236
82	2460	27186
83	2488	27140
84	2517	27098
85	2543	27036
86	2572	26995
87	2600	26947
88	2629	26911
89	2657	26870
90	2685	26822
91	2713	26785
92	2742	26746
93	2771	26708
94	2801	26689
95	2829	26644
96	2859	26617
97	2870	26419
98	2890	26303
99	2918	26269
100	2950	26264
101	2981	26250
102	3011	26228
103	3018	26008
104	3030	25827
105	3049	25715
106	3075	25666
107	3103	25634
108	3115	25466
109	3142	25425
110	3170	25388
111	3197	25352
112	3211	25212
113	3239	25177
114	3269	25157
115	3298	25139
116	3326	25104
117	3333	24917
118	3361	24889
119	3390	24865
120	3418	24832
121	3429	24683
122	3458	24658
123	3486	24627
124	3513	24592
125	3542	24573
126	3573	24561
127	3608	24581
128	3637	24561
129	3653	24449
130	3682	24426
131	3710	24396
132	3726	24289
133	3738	24158
134	3767	24139
135	3797	24126
136	3804	23965
137	3811	23806
138	3840	23787
139	3868	23763
140	3897	23742
141	3926	23721
142	3943	23630
143	3971	23609
144	4001	23593
145	4029	23571
146	4058	23552
147	4087	23528
148	4115	23507
149	4123	23364
150	4151	23341
151	4180	23321
152	4210	23308
153	4241	23298
154	4286	23369
155	4314	23343
156	4341	23311
157	4368	23280
158	4379	23163
159	4389	23047
160	4418	23027
161	4448	23010
162	4478	22996
163	4507	22975
164	4534	22948
165	4562	22923
166	4592	22906
167	4621	22887
168	4648	22858
169	4659	22750
170	4688	22727
171	4716	22703
172	4744	22679
173	4772	22655
174	4802	22641
175	4818	22561
176	4833	22472
177	4864	22464
178	4896	22459
179	4926	22442
180	4955	22422
181	5008	22508
182	5035	22482
183	5047	22383
184	5075	22357
185	5103	22333
186	5132	22312
187	5160	22291
188	5189	22268
189	5217	22244
190	5246	22223
191	5276	22205
192	5306	22187
193	5336	22171
194	5365	22148
195	5395	22132
196	5423	22106
197	5453	22088
198	5481	22062
199	5508	22034
200	5539	22018
201	5571	22010
202	5601	21991
203	5629	21967
204	5659	21946
205	5688	21924
206	5717	21904
207	5744	21874
208	5773	21852
209	5803	21832
210	5832	21809
211	5860	21784
212	5889	21760
213	5918	21737
214	5947	21714
215	5976	21691
216	6002	21659
217	6031	21637
218	6060	21613
219	6089	21590
220	6115	21557
221	6144	21532
222	6172	21505
223	6201	21483
224	6228	21452
225	6257	21431
226	6287	21409
227	6316	21388
228	6347	21369
229	6376	21348
230	6405	21323
231	6435	21302
232	6464	21280
233	6494	21258
234	6523	21237
235	6552	21211
236	6582	21191
237	6613	21174
238	6642	21151
239	6672	21128
240	6702	21110
241	6734	21094
242	6767	21082
243	6797	21060
244	6827	21039
245	6856	21015
246	6886	20993
247	6915	20968
248	6944	20943
249	6968	20904
250	6997	20880
251	7026	20857
252	7055	20830
253	7083	20804
254	7113	20782
255	7134	20735
256	7161	20704
257	7190	20679
258	7219	20655
259	7248	20630
260	7268	20579
261	7296	20552
262	7326	20530
263	7355	20506
264	7384	20480
265	7418	20470
266	7446	20444
267	7477	20423
268	7507	20401
269	7537	20379
270	7561	20341
271	7590	20314
272	7619	20291
273	7648	20266
274	7677	20240
275	7706	20214
276	7736	20193
277	7765	20169
278	7794	20141
279	7824	20119
280	7852	20092
281	7882	20068
282	7911	20044
283	7942	20023
284	7975	20008
285	8006	19988
286	8037	19966
287	8066	19943
288	8094	19915
289	8123	19888
290	8153	19865
291	8184	19844
292	8214	19820
293	8242	19793
294	8277	19781
295	8303	19749
296	8332	19722
297	8359	19692
298	8387	19663
299	8415	19636
300	8443	19608
301	8472	19582
302	8500	19554
303	8530	19529
304	8561	19509
305	8593	19489
306	8622	19463
307	8660	19458
308	8682	19416
309	8716	19401
310	8750	19385
311	8785	19372
312	8813	19343
313	8842	19317
314	8871	19291
315	8899	19262
316	8928	19236
317	8955	19206
318	8983	19176
319	9013	19154
320	9041	19125
321	9075	19109
322	9109	19092
323	9142	19076
324	9178	19062
325	9212	19047
326	9241	19020
327	9264	18980
328	9295	18957
329	9324	18930
330	9351	18901
331	9378	18870
332	9404	18837
333	9431	18806
334	9451	18762
335	9479	18733
336	9509	18709
337	9537	18680
338	9568	18657
339	9585	18607
340	9613	18578
341	9642	18551
342	9671	18524
343	9699	18497
344	9727	18468
345	9755	18439
346	9782	18408
347	9812	18384
348	9843	18361
349	9872	18334
350	9901	18308
351	9929	18280
352	9960	18255
353	9989	18230
354	10010	18188
355	10040	18162
356	10071	18140
357	10107	18125
358	10133	18093
359	10166	18074
360	10201	18056
361	10228	18027
362	10256	17998
363	10284	17969
364	10312	17940
365	10339	17911
366	10368	17884
367	10398	17857
368	10424	17826
369	10453	17798
370	10480	17768
371	10507	17738
372	10536	17711
373	10566	17685
374	10593	17656
375	10622	17628
376	10653	17604
377	10688	17587
378	10732	17585
379	10770	17572
380	10803	17551
381	10820	17505
382	10842	17467
383	10870	17438
384	10899	17411
385	10927	17382
386	10957	17355
387	10986	17328
388	11016	17303
389	11047	17279
390	11077	17253
391	11105	17225
392	11140	17206
393	11176	17190
394	11211	17171
395	11244	17151
396	11273	17123
397	11301	17094
398	11331	17068
399	11360	17041
400	11389	17012
401	11417	16984
402	11447	16958
403	11477	16932
404	11505	16903
405	11534	16875
406	11565	16850
407	11593	16822
408	11619	16790
409	11648	16762
410	11678	16736
411	11708	16710
412	11737	16683
413	11768	16657
414	11797	16630
415	11826	16602
416	11854	16573
417	11883	16545
